viewpoint,time_index,reference_Ev_lx,reference_DGP,EIGCM_Ev_lx,EIGCM_DGP,Jones_dcglare_Ev_lx,Jones_dcglare_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_Balanced_DGP
Viewpoint 1,177,3332.331569,0.375464,3341.3799,0.3681132,3420.2776,0.364471,2947.943789332244,0.3508901906108622
Viewpoint 1,178,4865.681572,0.461948,4881.8594,0.4537212,5070.4727,0.4612209,4072.290585491433,0.4159588029989438
Viewpoint 1,179,6548.535952,0.561539,6365.0513,0.5422737,6548.1147,0.5493717,5659.346847336041,0.5100709575420036
Viewpoint 1,180,10013.665216,0.82377,11341.403,0.9143745,10063.117,0.7625468,7143.739493908292,0.600155383617987
Viewpoint 1,181,16062.243215,1.0,15667.109,1.0,15947.012,1.0,8673.75897517742,0.6922159248930725
Viewpoint 1,182,2585.847111,0.336689,2604.7415,0.3259145,2630.0413,0.3233348,2571.9281414162483,0.3366336688688837
Viewpoint 1,183,1727.481256,0.286495,1749.2218,0.2720829,1765.8677,0.2702913,1716.6748901085723,0.2864513863619566
Viewpoint 1,184,972.037385,0.235886,992.17377,0.2199772,1000.6199,0.2232389,956.8640789501244,0.2278172720818509
Viewpoint 1,199,273.805148,0.175102,305.55203,0.1769359,313.19748,0.1783846555132945,247.6124433160268,0.1745348504226507
Viewpoint 1,200,3377.598262,0.422207,3701.7734,0.4289383,3380.8323,0.3593525,2906.2575021878965,0.4204866254861663
Viewpoint 1,201,4038.357475,0.426404,4014.6707,0.4138941,4114.5322,0.4034605,3315.5854978051,0.3720225593067877
Viewpoint 1,202,8308.336244,0.68295,8223.7402,0.6472627,8736.4746,0.6743368,5535.102876431867,0.5012879240294527
Viewpoint 1,203,7959.963734,0.662389,7680.6929,0.6174867,7977.2222,0.6317443,6376.689325781079,0.5525945379806428
Viewpoint 1,204,5206.092477,0.487911,5221.583,0.4808948,5277.6323,0.4796844,5097.179694383721,0.4821598672028475
Viewpoint 1,205,5364.966587,0.498666,5402.5073,0.4932779,5451.9546,0.4914621,5254.530984102607,0.4928609340808237
Viewpoint 1,206,4695.735291,0.460854,4731.8853,0.4550472,4767.9482,0.45336,4627.923399501216,0.4586006330445242
Viewpoint 1,207,3205.274936,0.375161,3271.8267,0.3702225,3295.2012,0.3683873,3151.213924525711,0.3739211200375025
Viewpoint 1,208,906.216752,0.224145,901.72784,0.2119314,909.77228,0.2148407038607932,893.2179775395527,0.2138513783923465
Viewpoint 1,223,258.867972,0.174244,290.42831,0.1760481,298.62192,0.1775291132281251,220.7441587021441,0.1729576821158158
Viewpoint 1,224,2314.103715,0.370353,2592.603,0.3685429,2381.2993,0.2999333,2003.6520669127367,0.3743168896783994
Viewpoint 1,225,4260.270844,0.436735,4185.374,0.4293633,4267.6118,0.4119057,3253.7546459153864,0.3694254568559441
Viewpoint 1,226,3704.084065,0.398353,3723.3438,0.3911161,3771.2903,0.3896897,3660.26392752477,0.3965027597261711
Viewpoint 1,227,7909.698302,0.669916,7818.772,0.6237876,8177.6675,0.6424533,6151.679955101126,0.5407034791569483
Viewpoint 1,228,14267.391784,1.0,26051.273,1.0,14510.109,1.0,7526.92229374079,0.6252728207306566
Viewpoint 1,229,26160.181618,1.0,25045.758,1.0,27022.91,1.0,8755.629561659665,0.6971276842325386
Viewpoint 1,230,38085.450367,1.0,54906.965,1.0,37976.234,1.0,47618.89578036251,1.0
Viewpoint 1,231,35846.8757,1.0,41595.766,1.0,27974.205,1.0,9427.1349505514,0.8519173694620447
Viewpoint 1,232,446.62749,0.185217,437.15561,0.184661,441.8768,0.1859381316702872,442.7621457432501,0.1859901379551287
Viewpoint 1,247,268.465495,0.174845,303.1152,0.1767929,312.01447,0.1783152649109605,224.41094570211595,0.1731729225127142
Viewpoint 1,248,1300.000019,0.252778,1311.0598,0.2406511,1327.403,0.2397944,1288.0318709008473,0.2511175983561235
Viewpoint 1,249,4216.981784,0.441551,4212.3159,0.4338097,4307.9619,0.4141305,3211.655201398841,0.367468611127535
Viewpoint 1,250,5965.816308,0.549061,5975.9277,0.5143288,6462.5239,0.5400218,3481.545921694621,0.3814492881295707
Viewpoint 1,251,8184.685791,0.687235,7461.063,0.6003364,7889.8164,0.6242697,5345.308551699003,0.4971828097700074
Viewpoint 1,252,14036.81469,1.0,27748.789,1.0,14228.62,1.0,6184.98408381461,0.5506974140830418
Viewpoint 1,253,25427.53155,1.0,16234.57,1.0,26499.434,1.0,7868.335951952753,0.6454848156360748
Viewpoint 1,254,38478.998791,1.0,35107.832,1.0,37819.844,1.0,47652.02024559106,1.0
Viewpoint 1,255,36945.110159,1.0,53197.734,1.0,28779.619,1.0,9055.831850095296,0.8373870866118068
Viewpoint 1,256,577.027874,0.192872,568.68494,0.1923818,574.55225,0.1937261578772935,572.5216779734964,0.1936070224970442
Viewpoint 1,271,91.539792,0.164373,92.076042,0.1644049,93.129913,0.1654665401940688,91.86464889087212,0.1653924548898942
Viewpoint 1,272,673.919623,0.198559,678.01953,0.1987997,685.93488,0.2002643748798125,670.2584097526238,0.199344168652479
Viewpoint 1,273,1300.170335,0.256852,1309.6355,0.2407548,1325.0396,0.2417177,1288.7159143410738,0.2548154678353081
Viewpoint 1,274,1893.464293,0.294203,1901.748,0.2793529,1924.069,0.2777393,1880.600343294897,0.2939825035453318
Viewpoint 1,275,2319.722259,0.317865,2336.2419,0.3085517,2363.2737,0.3056116,2311.0598450477937,0.3198280219951281
Viewpoint 1,276,2509.107011,0.329222,2522.0063,0.319793,2550.2969,0.3168456,2478.9771398944263,0.3301000058174622
Viewpoint 1,277,2389.58922,0.324591,2412.876,0.3136471,2438.9399,0.3106067,2375.26966400482,0.3242585386737426
Viewpoint 1,278,1975.806942,0.300343,1988.4463,0.288158,2009.1687,0.2837179,1968.985418800796,0.3007338263112417
Viewpoint 1,279,1331.166278,0.261427,1344.8688,0.2463128,1358.7159,0.2448173,1326.5581967481132,0.2607305734606945
