case,reference_range,method,n,MAE,RMSE,MBE,median_AE,P95_AE,max_AE,CCC,fit_R2,slope,intercept,source_file,P99_AE
C3,0.34 <= DGP < 0.38,Raytraverse High,24,0.1700168499247649,0.1836689436951924,-0.164661877506844,0.1988033686523997,0.2153443253893625,0.2166913480525169,0.0050402226125074,0.0075533104549946,0.5875236848263672,-0.0157690645896722,stratified_dgp_metrics.csv,
C3,0.38 <= DGP < 0.45,EIGCM (MF1),227,0.0143363753303964,0.0222106561331299,0.0108169929515418,0.0050761999999999,0.04700685,0.0664227,0.4230213018625103,0.278748514524794,0.7803093928092654,0.1044084879417024,stratified_dgp_metrics.csv,
C3,0.38 <= DGP < 0.45,Jones dcglare,227,0.2369840902492909,0.2382379197155864,-0.2369840902492909,0.2370164974176374,0.2715483651791345,0.2851545348221013,0.0026150117857693,0.0465737970884939,0.3210511275268174,0.052258316648336,stratified_dgp_metrics.csv,
C3,0.38 <= DGP < 0.45,Raytraverse Balanced,227,0.0535453150012786,0.1075649952775631,-0.0365719225303798,0.0086771772580928,0.2699938808275439,0.2845039556705602,0.0522021599230045,0.041178620362974,1.3748530548800015,-0.1962649483564189,stratified_dgp_metrics.csv,
C3,0.38 <= DGP < 0.45,Raytraverse High,227,0.0508706850962639,0.1037912133081987,-0.032628752618143,0.0091242023447262,0.2695319242187239,0.2841668756079585,0.0462518302132441,0.0294444443096876,1.1270884068742804,-0.0867703208325506,stratified_dgp_metrics.csv,
C3,DGP >= 0.45,EIGCM (MF1),511,0.0053566739726027,0.0143613573879171,-0.0010056336594911,0.0014763999999999,0.0294268499999999,0.1292597999999999,0.784461810540882,0.6224799947635118,0.8691677369313795,0.0626500911439425,stratified_dgp_metrics.csv,
C3,DGP >= 0.45,Jones dcglare,511,0.2758756303592026,0.2791526351819121,-0.2758756303592026,0.2676850501848329,0.3477261952321779,0.3687511528921519,0.0041130976757067,0.0350926412227667,0.3726554765210022,0.0293554296781469,stratified_dgp_metrics.csv,
C3,DGP >= 0.45,Raytraverse Balanced,511,0.0778570996769825,0.1565202963370351,-0.0722339467998491,0.0030973229514938,0.3441417008103137,0.3801175641620394,0.0036876447070113,0.0002513340771842,0.104992897259773,0.3632268829136058,stratified_dgp_metrics.csv,
C3,DGP >= 0.45,Raytraverse High,511,0.0718446941572542,0.150410239408934,-0.0670229268792502,0.0028039513141355,0.3437051517266992,0.3800455864616382,0.0052588510957706,0.0004647551547189,0.1384843309752548,0.3521428282259868,stratified_dgp_metrics.csv,
C4,DGP < 0.34,EIGCM (MF1),15621,0.0038437442865373,0.0084827870154757,-0.0009282047052045,0.0005136,0.0182032999999999,0.2468331999999999,0.9850562661932069,0.970685743100596,0.9868379158646146,0.0017727322753511,stratified_dgp_metrics.csv,
C4,DGP < 0.34,Jones dcglare,15621,0.006063443769318,0.0143863360591883,0.0022277103608941,0.0016656027296951,0.0253345,0.3345411,0.9596368582024932,0.9262148984696268,1.0237387565219145,-0.0026436219222716,stratified_dgp_metrics.csv,
C4,DGP < 0.34,Raytraverse Balanced,15621,0.0085676824870083,0.0427433571635676,0.0037184497437456,0.0016890445030434,0.0255253828446412,0.818406,0.7358951103060402,0.5989923613921511,1.0591159807990964,-0.0084124967720001,stratified_dgp_metrics.csv,
C4,DGP < 0.34,Raytraverse High,15621,0.0085101339476227,0.0427721144981438,0.0040331922494204,0.0014962113448302,0.026460140227818,0.818406,0.7376036339847752,0.604302589589528,1.0699253055592843,-0.0103158912026433,stratified_dgp_metrics.csv,
C4,0.34 <= DGP < 0.38,EIGCM (MF1),768,0.0094588475260416,0.0148242794917007,-0.0025218287760416,0.0069777,0.0246458649999999,0.1919226,0.5495134462862408,0.3914747629947801,1.0238895441731477,-0.0110909457475332,stratified_dgp_metrics.csv,
C4,0.34 <= DGP < 0.38,Jones dcglare,768,0.0243728234375,0.05674163899649,0.0175571315104166,0.0087813,0.1063945949999999,0.409958,0.1087610756761806,0.0929023975662143,1.5006953230029223,-0.1620409704371908,stratified_dgp_metrics.csv,
C4,0.34 <= DGP < 0.38,Raytraverse Balanced,768,0.0393366405811399,0.1050434405943303,0.0128033773327713,0.0148068336004655,0.0966680058481273,0.6576409999999999,0.0277772188861757,0.0171696015689545,1.2041213925221113,-0.060414431940953,stratified_dgp_metrics.csv,
C4,0.34 <= DGP < 0.38,Raytraverse High,768,0.0396291226263509,0.1051736333264993,0.015079027146153,0.0156749974304275,0.1000103331010371,0.6576409999999999,0.0271496574413259,0.0165265065825214,1.1790751888619926,-0.0491547744252978,stratified_dgp_metrics.csv,
