case,view_id,time_index,reference_DGP,reference_Ev_lx,EIGCM_DGP,EIGCM_Ev_lx,Jones_dcglare_DGP,Jones_dcglare_Ev_lx,Raytraverse_Balanced_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_High_DGP,Raytraverse_High_Ev_lx
C1,2,8528,0.607553,2391.629,0.6602491,2505.7314,0.4631668,3322.85693359,0.65820134,2433.85219344,0.65897088,2461.10691329
C1,2,8529,0.31428,2522.074,0.3138268,2591.8555,0.3503577,2800.93969727,0.31443003,2513.5671392,0.31437439,2510.56313275
C1,2,8530,0.38774,3566.649,0.3860331,3860.1855,0.3878356,3852.46850586,0.3835744,3592.07551203,0.38454635,3614.80173112
C1,2,8531,0.364582,3293.142,0.3626948,3463.2952,0.3658945,3487.29223633,0.3637094,3293.48590448,0.35242211,3116.3508021
C1,2,8532,0.357695,3146.416,0.3690935,3573.2305,0.3641658,3466.81665039,0.35484152,3180.60433824,0.35494207,3173.66849781
C1,2,8533,0.252775,1557.641,0.2463402,1478.7214,0.2514242,1519.49841309,0.24912938,1473.49157398,0.24727525,1441.74820906
C1,2,8534,0.375799,3339.586,0.3662038,3521.7095,0.375656,3669.79296875,0.3801213,3427.70209069,0.38242254,3453.42729625
C1,2,8535,0.297551,1996.199,0.2869893,2178.0916,0.3015593,2408.93115234,0.2865565,1971.56114801,0.30350352,2123.48790398
C1,2,8536,0.171324,209.943,0.1710246,204.8483,0.1724143,211.46444702,0.17174668,200.1138628,0.17146191,195.26247199
C1,3,1902,0.170865,202.134,0.1713395,210.21336,0.17219018,207.67211914,0.17111783,189.40092257,0.17110224,189.13522178
C1,3,1903,0.19888,679.385,0.19769,659.11383,0.19884148,661.69519043,0.197888,645.45148836,0.19804191,648.07341948
C1,3,1904,0.340142,2969.667,0.3517802,3281.27,0.3552595,3247.05981445,0.34738406,3060.14192304,0.33601886,2875.81386308
C1,3,1905,0.422863,4294.433,0.4266293,4553.7207,0.4213948,4336.43505859,0.41162346,4154.81471048,0.40965724,4115.89274482
C1,3,1906,0.315048,2563.517,0.3048919,2481.9353,0.3146125,2491.98608398,0.31198811,2450.29980131,0.31276061,2458.52357616
C1,3,1907,0.339268,2969.945,0.3273406,2864.261,0.3373041,2877.48535156,0.33453795,2831.39014775,0.33552106,2845.69155258
C1,3,1908,0.350759,3162.364,0.337683,3040.2803,0.3478899,3055.65893555,0.34493806,3010.44637382,0.34547899,3013.97825247
C1,3,1909,0.346584,3088.294,0.3337427,2972.8887,0.3438861,2989.53051758,0.34051722,2936.83219571,0.34152058,2946.54581554
C1,3,1910,0.327358,2763.619,0.3157276,2665.5552,0.3259096,2683.6171875,0.32319607,2635.63184873,0.323264,2634.10427987
C1,3,1911,0.293532,2191.153,0.2841698,2127.2749,0.294176,2142.6965332,0.29145955,2092.91229963,0.29154907,2091.47044336
C1,3,1912,0.249307,1456.424,0.2424246,1419.8566,0.2481362,1429.72070312,0.24736464,1376.64103004,0.24793825,1388.38216514
C1,3,1913,0.265197,1684.31,0.2585433,1659.8677,0.262008,1667.56396484,0.26280182,1597.73161588,0.26429147,1607.39584446
C1,3,4109,0.159702,11.962,0.1596813,11.606911,0.16068428,11.65761852,0.16066512,11.33088524,0.16066901,11.39702541
C1,3,4110,0.166375,125.639,0.1661612,121.99727,0.1671939,122.55726624,0.16698168,118.93839061,0.16702342,119.64943313
C1,3,4111,0.174318,260.96,0.1739093,253.99127,0.1749793,255.18496704,0.17450427,247.09155705,0.17462054,249.07227224
C1,3,4112,0.183036,409.472,0.1823061,397.0379,0.18341631,398.91485596,0.18277545,387.99747459,0.18284642,389.20653372
C1,3,4113,0.190979,544.795,0.189981,527.78571,0.191127,530.27319336,0.19038702,517.66644676,0.19039198,517.75097681
C1,3,4114,0.197183,650.478,0.1961859,633.49097,0.1973605,636.46478271,0.19651278,622.02355261,0.19652404,622.21540267
C1,3,4115,0.201495,723.937,0.2003186,703.89374,0.20151267,707.20074463,0.20036542,687.65618646,0.2005999,691.65070796
C1,3,4116,0.202745,745.223,0.2015416,724.72876,0.20274148,728.13470459,0.20158519,708.43595064,0.20177315,711.63796126
C1,3,4117,0.20096,714.829,0.1996913,693.20703,0.2008811,696.44073486,0.19974511,677.08873626,0.19996613,680.85406236
C1,3,4118,0.1961,632.034,0.195059,614.29321,0.19622606,617.13830566,0.19495701,595.51974423,0.19537712,602.67670193
C1,3,4119,0.188556,503.515,0.1877874,490.41629,0.18892061,492.68566895,0.18799992,477.00034493,0.18823504,481.00577945
C1,3,4120,0.179982,357.447,0.1793294,346.32758,0.18042459,347.94869995,0.17985505,338.24613938,0.1799356,339.61837789
C1,3,4121,0.171479,212.589,0.1710911,205.98055,0.17214899,206.97000122,0.17175692,200.28830366,0.17186991,202.21314259
C1,3,4122,0.164475,93.268,0.1643273,90.755463,0.16535344,91.20153046,0.16516925,88.06226271,0.16522708,89.04735584
C1,3,8527,0.167824,150.319,0.1690084,170.50095,0.17005501,171.28900146,0.16863422,147.09061976,0.16882387,150.32142425
C1,3,8528,0.302662,2128.91,0.2999233,2400.7371,0.2992567,2372.33422852,0.29826187,2100.91608144,0.30325357,2201.65910593
C1,3,8529,0.337864,2870.159,0.3366629,3026.625,0.3396235,3060.00048828,0.32919956,2736.59664203,0.33836272,2886.36446458
C1,3,8530,0.403652,3707.37,0.3874817,3891.2495,0.3771066,3693.26318359,0.38955724,3683.44898517,0.39179086,3721.65524312
C1,3,8531,0.366367,3378.259,0.3708938,3608.2654,0.3684249,3526.984375,0.36582158,3332.63639152,0.35314239,3128.91741171
C1,3,8532,0.357718,3267.152,0.3814429,3787.689,0.3772015,3673.49243164,0.35651736,3223.41456798,0.35830618,3231.78480548
C1,3,8533,0.312522,2531.752,0.3029882,2449.0217,0.3114265,2469.04760742,0.30686372,2387.06862857,0.30764173,2394.40234481
C1,3,8534,0.400357,3658.397,0.3896738,3927.6514,0.4018174,4117.28857422,0.39458027,3695.6564783,0.40087481,3778.20558378
C1,3,8535,0.310212,2379.976,0.3166513,2682.5396,0.3106505,2566.43945312,0.30463917,2294.05140753,0.31703684,2460.59984739
C1,3,8536,0.182079,393.168,0.1817406,387.40289,0.18291905,390.44308472,0.18200502,374.87259186,0.18198436,374.52069081
C1,4,1902,0.178673,335.145,0.1791399,343.09888,0.18073526,353.24249268,0.17800292,306.69361396,0.17850949,315.32354873
C1,4,1903,0.227972,1174.993,0.2261112,1143.2908,0.2276618,1152.67504883,0.22528461,1112.17392413,0.22659175,1134.44214142
C1,4,1904,0.45001,4765.974,0.4578356,5061.4893,0.4745693,5237.54541016,0.4552647,4826.31504167,0.43611692,4537.26532528
C1,4,1905,0.565561,6679.284,0.5535791,6680.4912,0.5764374,6931.58300781,0.54239794,6328.15539985,0.54557476,6380.14532544
C1,4,1906,0.428098,4438.977,0.4130934,4309.2124,0.4271272,4346.62841797,0.41723222,4222.07118669,0.4221668,4303.40392757
C1,4,1907,0.471902,5174.533,0.4553262,5021.2539,0.4694162,5062.32275391,0.45936779,4935.57615525,0.46463085,5024.62489355
C1,4,1908,0.495978,5582.018,0.4777709,5402.8242,0.491923,5443.85742188,0.48130095,5308.90902188,0.48681661,5401.24687106
C1,4,1909,0.493667,5540.109,0.4765399,5380.6309,0.4904444,5418.44433594,0.48019886,5291.48516547,0.48499348,5369.42085813
C1,4,1910,0.465404,5061.588,0.4506238,4937.0444,0.4640465,4969.25097656,0.4524931,4817.02652427,0.45784612,4904.48075259
C1,4,1911,0.409323,4110.151,0.3976074,4030.2366,0.4104752,4055.44799805,0.39877203,3897.45519213,0.4040777,3983.20945233
