case,view_id,method,n,RMSE
C1,41,EIGCM (MF1),36,0.019051202469806346
C1,41,Jones dcglare,36,0.03142522004375718
C1,41,Raytraverse Balanced,36,0.07666610368232622
C1,41,Raytraverse High,36,0.07575533022636459
C1,42,EIGCM (MF1),36,0.012864723233441726
C1,42,Jones dcglare,36,0.01757461970720467
C1,42,Raytraverse Balanced,36,0.0580751780094313
C1,42,Raytraverse High,36,0.057284620191273755
C1,43,EIGCM (MF1),36,0.004504637513841832
C1,43,Jones dcglare,36,0.004651761908542769
C1,43,Raytraverse Balanced,36,0.0030760677238133244
C1,43,Raytraverse High,36,0.0017233801462895508
C1,44,EIGCM (MF1),36,0.006224136110649326
C1,44,Jones dcglare,36,0.008864720887913572
C1,44,Raytraverse Balanced,36,0.003544403608019502
C1,44,Raytraverse High,36,0.0026044485179112266
C1,45,EIGCM (MF1),36,0.010908208650942648
C1,45,Jones dcglare,36,0.01702391074232325
C1,45,Raytraverse Balanced,36,0.005341597727452433
C1,45,Raytraverse High,36,0.003264793479947598
C1,46,EIGCM (MF1),36,0.010127714730107895
C1,46,Jones dcglare,36,0.011220543218688215
C1,46,Raytraverse Balanced,36,0.002856121469484449
C1,46,Raytraverse High,36,0.001642290897492312
C1,47,EIGCM (MF1),36,0.01340209590565761
C1,47,Jones dcglare,36,0.018446595988136194
C1,47,Raytraverse Balanced,36,0.05530372778579113
C1,47,Raytraverse High,36,0.055811372904847514
C1,48,EIGCM (MF1),36,0.02063402021550548
C1,48,Jones dcglare,36,0.034269377118428396
C1,48,Raytraverse Balanced,36,0.07540577865491511
C1,48,Raytraverse High,36,0.07491636312389817
C1,49,EIGCM (MF1),36,0.015804837296738896
C1,49,Jones dcglare,36,0.04402722896922134
C1,49,Raytraverse Balanced,36,0.009621040695744801
C1,49,Raytraverse High,36,0.009608183080354814
C1,50,EIGCM (MF1),36,0.016080658361487844
C1,50,Jones dcglare,36,0.062347133029816884
C1,50,Raytraverse Balanced,36,0.062094298079976414
C1,50,Raytraverse High,36,0.06143824210767342
C1,51,EIGCM (MF1),36,0.006457258009553629
C1,51,Jones dcglare,36,0.004285538724943654
C1,51,Raytraverse Balanced,36,0.0038812057797656275
C1,51,Raytraverse High,36,0.002713414804647055
C1,52,EIGCM (MF1),36,0.007987750557155206
C1,52,Jones dcglare,36,0.008555808669818837
C1,52,Raytraverse Balanced,36,0.004082244627531998
C1,52,Raytraverse High,36,0.0019252757844873348
C1,53,EIGCM (MF1),36,0.013986029718168775
C1,53,Jones dcglare,36,0.0169654369888932
C1,53,Raytraverse Balanced,36,0.003940232701498877
C1,53,Raytraverse High,36,0.0036641974613966406
C1,54,EIGCM (MF1),36,0.008295690583871439
C1,54,Jones dcglare,36,0.08627128223404164
C1,54,Raytraverse Balanced,36,0.01832253405814333
C1,54,Raytraverse High,36,0.017693491292548796
C1,55,EIGCM (MF1),36,0.009337141799927014
C1,55,Jones dcglare,36,0.06411412848424657
C1,55,Raytraverse Balanced,36,0.004590541830086004
C1,55,Raytraverse High,36,0.002531311508065304
C1,56,EIGCM (MF1),36,0.014394049563641063
C1,56,Jones dcglare,36,0.05873030449581932
C1,56,Raytraverse Balanced,36,0.005654490148199597
C1,56,Raytraverse High,36,0.004347422561450136
C1,57,EIGCM (MF1),36,0.01627008526334963
C1,57,Jones dcglare,36,0.047506454201668144
C1,57,Raytraverse Balanced,36,0.015970297382772464
C1,57,Raytraverse High,36,0.00960808560705413
C1,58,EIGCM (MF1),36,0.018753909072525533
C1,58,Jones dcglare,36,0.06583407302487987
C1,58,Raytraverse Balanced,36,0.06711058962076336
C1,58,Raytraverse High,36,0.06656507295819772
C1,59,EIGCM (MF1),36,0.009400697768354453
C1,59,Jones dcglare,36,0.007572295607858037
C1,59,Raytraverse Balanced,36,0.01267946772989111
C1,59,Raytraverse High,36,0.009110743227058918
C1,60,EIGCM (MF1),36,0.011253574138542237
C1,60,Jones dcglare,36,0.055084987859391296
C1,60,Raytraverse Balanced,36,0.06410045882448845
C1,60,Raytraverse High,36,0.06200479591339422
C1,61,EIGCM (MF1),36,0.0035629366272001677
C1,61,Jones dcglare,36,0.02785614806528066
C1,61,Raytraverse Balanced,36,0.21109068415032206
C1,61,Raytraverse High,36,0.21088440636267333
C1,62,EIGCM (MF1),36,0.008167529338841286
C1,62,Jones dcglare,36,0.04519292738857136
C1,62,Raytraverse Balanced,36,0.21762986584485514
C1,62,Raytraverse High,36,0.21669387078431632
C1,63,EIGCM (MF1),36,0.006756830576720124
C1,63,Jones dcglare,36,0.011958370843463238
C1,63,Raytraverse Balanced,36,0.18547563994807856
C1,63,Raytraverse High,36,0.18398587682845519
C1,64,EIGCM (MF1),36,0.012794438381046226
C1,64,Jones dcglare,36,0.0296950676247477
C1,64,Raytraverse Balanced,36,0.10959288919217465
C1,64,Raytraverse High,36,0.10610669049156686
C1,65,EIGCM (MF1),36,0.02195753317900134
C1,65,Jones dcglare,36,0.09127547627815841
C1,65,Raytraverse Balanced,36,0.09194931685810007
C1,65,Raytraverse High,36,0.09181798106293683
C1,66,EIGCM (MF1),36,0.024420293116307768
C1,66,Jones dcglare,36,0.07041457019886908
C1,66,Raytraverse Balanced,36,0.06555685059597188
C1,66,Raytraverse High,36,0.0657032887167977
C1,67,EIGCM (MF1),36,0.008148048847099671
C1,67,Jones dcglare,36,0.005735457412018003
C1,67,Raytraverse Balanced,36,0.0033665232086250462
C1,67,Raytraverse High,36,0.0019162902318781581
C1,68,EIGCM (MF1),36,0.012262517369259414
C1,68,Jones dcglare,36,0.039268998297976955
C1,68,Raytraverse Balanced,36,0.012006114209907347
C1,68,Raytraverse High,36,0.010887754057593789
C1,69,EIGCM (MF1),36,0.0087238732180405
C1,69,Jones dcglare,36,0.01641167531533741
C1,69,Raytraverse Balanced,36,0.009776755533774707
C1,69,Raytraverse High,36,0.00919344633562665
C1,70,EIGCM (MF1),36,0.002941036606746375
C1,70,Jones dcglare,36,0.04966238298582462
C1,70,Raytraverse Balanced,36,0.006337441767943734
C1,70,Raytraverse High,36,0.005160450485948123
C1,71,EIGCM (MF1),36,0.0069317485344407995
C1,71,Jones dcglare,36,0.017276456840177926
C1,71,Raytraverse Balanced,36,0.033453106454715914
C1,71,Raytraverse High,36,0.0316032669652565
C1,72,EIGCM (MF1),36,0.018044125052138777
C1,72,Jones dcglare,36,0.03824032827442668
C1,72,Raytraverse Balanced,36,0.04805471372436928
C1,72,Raytraverse High,36,0.04672825484895265
C1,73,EIGCM (MF1),36,0.009586245763766611
C1,73,Jones dcglare,36,0.067708922443789
C1,73,Raytraverse Balanced,36,0.27169707738778676
C1,73,Raytraverse High,36,0.27163806918623906
C1,74,EIGCM (MF1),36,0.008200684972288734
C1,74,Jones dcglare,36,0.00790329435570928
C1,74,Raytraverse Balanced,36,0.07882764361270121
C1,74,Raytraverse High,36,0.07888078415362597
C1,75,EIGCM (MF1),36,0.006348939476357014
C1,75,Jones dcglare,36,0.004840047469473654
C1,75,Raytraverse Balanced,36,0.018506073716080276
C1,75,Raytraverse High,36,0.018004589107101815
C1,76,EIGCM (MF1),36,0.009196913290791284
C1,76,Jones dcglare,36,0.04141420834056132
C1,76,Raytraverse Balanced,36,0.020892732678922717
C1,76,Raytraverse High,36,0.02019875901529831
C1,77,EIGCM (MF1),36,0.004624388511077849
C1,77,Jones dcglare,36,0.016594484746980106
C1,77,Raytraverse Balanced,36,0.008322809487383493
C1,77,Raytraverse High,36,0.007557161336951459
C1,78,EIGCM (MF1),36,0.00485722597145508
C1,78,Jones dcglare,36,0.04002903022773407
C1,78,Raytraverse Balanced,36,0.1200852945969043
C1,78,Raytraverse High,36,0.1203321876298132
C1,79,EIGCM (MF1),36,0.006369104299097145
C1,79,Jones dcglare,36,0.07879734235836393
C1,79,Raytraverse Balanced,36,0.19881436305647526
C1,79,Raytraverse High,36,0.19910264008761366
C1,80,EIGCM (MF1),36,0.009520545033563534
C1,80,Jones dcglare,36,0.0763489156639633
C1,80,Raytraverse Balanced,36,0.245489803806403
